latitude,longitude,locality,region,country
51.15,6.27,Wegberg,North Rhine-Westphalia,Germany
51.05,13.74,Dresden,Saxony,Germany
50.68,5.99,Busch,Liège,Belgium
53.25,8.12,Wiefelstede,Lower Saxony,Germany
47.37,8.56,Zurich,Zurich,Switzerland
52.23,8.17,Holte/Himbergen,Lower Saxony,Germany
49.34,7.22,Wellesweiler,Saarland,Germany
49.35,7.18,Neunkirchen,Saarland,Germany
52.48,13.33,Berlin,Berlin,Germany
47.94,13.08,Außerwall,Salzburg,Austria
49.76,9.94,Würzburg,Bavaria,Germany
50.42,7.93,Nentershausen,Rhineland-Palatinate,Germany
52.56,13.49,Berlin,Berlin,Germany
48.17,11.6,Munich,Bavaria,Germany
47.42,8.3,Niederrohrdorf,Aargau,Switzerland
46.82,7.55,Mühledorf BE,Bern,Switzerland
51.4,7.49,Hagen,North Rhine-Westphalia,Germany
48.37,10.9,Augsburg,Bavaria,Germany
48.21,16.35,Vienna,Vienna,Austria
51.45,7.38,Witten,North Rhine-Westphalia,Germany
46.52,6.63,Lausanne,Vaud,Switzerland
50.17,8.72,Bad Vilbel,Hesse,Germany
52.38,11.85,Tangerhütte,Saxony-Anhalt,Germany
51.17,10.45,Vogtei,Thuringia,Germany
52.04,8.52,Bielefeld,North Rhine-Westphalia,Germany
52.38,9.97,Kernstadt Lehrte,Lower Saxony,Germany
52.2,8.63,Kirchlengern,North Rhine-Westphalia,Germany
52.51,13.52,Berlin,Berlin,Germany
52.38,14.06,Fürstenwalde/Spree,Brandenburg,Germany
48.39,11.69,Freising,Bavaria,Germany
52.49,13.43,Berlin,Berlin,Germany
52.45,13.29,Berlin,Berlin,Germany
52.5,13.31,Berlin,Berlin,Germany
52.52,13.29,Berlin,Berlin,Germany
51.19,9.59,Eiterhagen,Hesse,Germany
50.94,8.33,Bad Laasphe,North Rhine-Westphalia,Germany
52.5,13.46,Berlin,Berlin,Germany
53.9,10.65,Stockelsdorf,Schleswig-Holstein,Germany
48.35,8.41,Alpirsbach,Baden-Württemberg,Germany
51.9,8.62,Schloß Holte-Stukenbrock,North Rhine-Westphalia,Germany
50.58,8.69,Gießen,Hesse,Germany
52.5,13.35,Berlin,Berlin,Germany
48.69,9.16,Leinfelden-Echterdingen,Baden-Württemberg,Germany
48.14,11.68,Munich,Bavaria,Germany
51.28,13.63,Kalkreuth,Saxony,Germany
49.45,11.09,Nuremberg,Bavaria,Germany
53.57,9.95,Hamburg,Hamburg,Germany
48.25,12.52,Mühldorf a. Inn,Bavaria,Germany
-32.95,-60.64,Rosario,Santa Fe,Argentina
51.73,8.69,Paderborn,North Rhine-Westphalia,Germany
48.13,11.56,Munich,Bavaria,Germany
47.98,7.8,Freiburg im Breisgau,Baden-Württemberg,Germany
48.87,12.87,Wolfstein,Bavaria,Germany
48.3,11.62,Eching,Bavaria,Germany
51.68,8.35,Lippstadt,North Rhine-Westphalia,Germany
54.35,-6.65,Milford,Northern Ireland,United Kingdom
50.95,6.92,Cologne,North Rhine-Westphalia,Germany
49.3,8.56,Reilingen,Baden-Württemberg,Germany
49.66,6.13,Bereldange,Canton Luxembourg,Luxembourg
53.59,9.92,Hamburg,Hamburg,Germany
47.51,7.53,Biel-Benken,Basel-Landschaft,Switzerland
48.58,7.82,Kehl,Baden-Württemberg,Germany
