cue,n_corrected,n_raw
Blickwinkel,46,42
Blitz,167,141
Block,35,34
Blockflöte,25,19
Blog,7,6
Blume,320,263
Blumen,509,413
Blumenbank,0,0
Blumenkohl,24,19
Bluse,42,36
Blut,528,408
Blutkreislauf,1,0
Blähungen,30,23
Blätter,185,181
Blödsinn,53,43
Blüte,32,27
Bob,9,6
Boden,272,224
Bogen,89,89
Bohne,21,16
Bohrer,40,33
Bohrmaschine,46,35
Bolivien,1,0
Bollerwagen,5,5
Bombe,67,57
Bonbon,23,17
Bongo,6,5
Bonn,17,16
Boot,379,308
Bord,1,1
Boss,65,53
Bote,43,36
Botschaft,45,40
Bouzouki,0,0
Box,67,50
Branche,3,3
Brandenburg,21,16
Brasilien,36,27
Bratsche,31,24
Braue,2,2
Braunbär,5,3
Braunkohl,2,1
Braunschweig,1,1
Brause,25,25
Braut,19,19
Brechbohnen,0,0
Brei,42,29
Breite,35,35
Bremen,12,10
Brett,83,64
Brettspiel,35,29
Brezel,33,25
Brief,658,562
Briefkasten,46,37
Briefmarke,59,51
Briefträger,32,28
Brille,348,285
Broccoli,6,5
Brom,1,1
Bronze,25,18
Brot,550,451
Bruch,121,98
Bruder,183,145
Brunnen,33,26
Brust,90,70
Brötchen,100,85
Brücke,115,87
Brüderlichkeit,29,24
Brühe,13,13
Brüssel,35,29
Buch,1353,1143
Buchmesse,9,8
Buchstabe,60,48
Buchstaben,103,78
Bucht,6,6
Buchweizen,0,0
Buddha,37,34
Buddhismus,45,41
Buffet,22,16
Bulgarien,7,6
Bulle,10,8
Bulli,4,3
Bund,69,61
Bundesland,118,97
Bundesliga,18,14
Bundesrat,27,24
Bundesregierung,12,9
Bundesrepublik,15,11
Bundestag,150,130
Bundeswehr,164,140
Bus,239,196
Busch,38,35
Busen,46,36
Business,83,64
Butler,28,24
Butter,62,60
Bäcker,63,53
Bär,92,76
Bäume,179,137
Börse,132,111
Bücher,456,384
Bücherei,15,12
Bücherregal,7,6
Bücherschrank,0,0
Bücherwurm,5,5
Büchner,4,4
Bügel,25,25
Bühne,261,223
Bündel,5,5
Bündnis,28,24
Bürger,77,63
Bürgermeister,47,42
Büro,449,375
Bürokratie,196,168
Bürste,41,38
C-Flöte,0,0
CD,49,38
CDU,86,70
CSU,13,12
Cambridge,15,10
Camping,47,36
