cue,n_corrected,n_raw
Schottland,87,77
Schrank,255,209
Schranken,7,6
Schrankwand,3,3
Schraube,112,111
Schraubendreher,36,26
Schraubenschlüssel,16,14
Schraubenzieher,121,97
Schraubstock,6,6
Schraubzwinge,0,0
Schreck,63,56
Schrei,29,24
Schreibtisch,146,114
Schreiner,90,67
Schrift,133,109
Schriftgröße,2,2
Schriftsteller,77,67
Schriftstück,23,18
Schriftverkehr,4,4
Schritt,41,41
Schrott,30,21
Schröder,40,35
Schublade,107,87
Schuh,201,167
Schuhe,389,300
Schuhschrank,6,6
Schulabschluss,19,18
Schulaufgaben,4,3
Schuld,164,164
Schulden,57,57
Schuldspruch,5,4
Schule,2338,2323
Schulfach,42,39
Schulter,15,14
Schuss,59,46
Schuster,14,13
Schutz,608,483
Schwamm,20,19
Schwan,13,11
Schwangerschaft,82,73
Schwanz,75,56
Schwarm,15,11
Schwarzwurzel,1,1
Schwebebahn,2,1
Schweden,106,82
Schwefelsäure,3,2
Schwein,88,67
Schweiz,443,349
Schweizer,15,9
Schweiß,100,99
Schweißer,6,3
Schwert,80,65
Schwester,173,141
Schwierigkeit,52,42
Schwimmbad,79,66
Schwingschleifer,2,2
Schwäche,58,56
Schätzchen,1,1
Schönheit,225,175
Schöpfung,33,31
Schüler,159,144
Schürze,52,37
Schüssel,64,48
See,363,293
Seefahrt,36,31
Seele,148,128
Seelenfrieden,3,2
Segel,32,32
Segelboot,13,10
Segelschiff,11,9
Segen,24,17
Sehenswürdigkeiten,10,9
Sehne,9,9
Sehnsucht,140,115
Seide,53,42
Seife,114,114
Seifenkiste,3,3
Seil,193,192
Seilbahn,14,9
Seite,76,65
Seitenschneider,2,2
Sekretariat,8,7
Sekretär,6,6
Sekretärin,33,25
Sekt,39,31
Sekte,34,27
Sekunde,65,55
Selbstaufgabe,3,3
Selbstbestimmung,18,14
Selbstbewusstsein,108,83
Selbstbild,14,13
Selbstmord,29,24
Selbstständigkeit,32,25
Selbstvertrauen,29,19
Selbstverwirklichung,12,11
Selbstwert,17,14
Selbstzweifel,7,5
Selektion,14,10
Sellerie,8,7
Semesterbeitrag,1,1
Seminar,66,58
Senat,3,3
Senator,2,2
Sender,31,29
Sendung,36,29
Sense,7,5
Separation,4,1
September,32,28
Serbien,6,4
Serie,162,139
Server,3,3
Service,100,85
Sesam,6,2
Sessel,104,82
Sex,892,669
Sexualität,62,53
Sheriff,1,1
Shopping,48,28
Shorts,11,8
Show,87,71
Sichel,17,11
Sicherheit,647,541
Sicherung,34,28
Sicht,84,73
Sichtweise,64,56
Sideboard,6,6
Sieb,16,12
Sieg,201,165
Siegel,25,22
Sieger,100,83
Signal,35,29
Signifikanz,5,3
Silber,152,74
Silvester,80,66
Single,109,63
Sinn,223,186
Sinnlichkeit,10,10
Sirup,40,31
Sitte,15,14
Situation,141,123
Sitz,52,42
Sitzkissen,4,3
Sitzkreis,4,4
Sitzung,97,80
Skandal,30,29
Skandinavien,61,52
Skateboard,15,10
Ski,64,43
Skifahren,66,47
Skizze,46,44
Sklave,69,49
Slip,35,27
Slowakei,22,17
Slowenien,8,7
Smoking,15,12
Socke,40,32
Sofa,388,312
Software,81,69
Sohle,21,15
Sohn,75,68
Sojabohnen,0,0
Soldat,143,120
Solidarität,53,41
Sommer,1175,949
Song,27,21
Sonnabend,4,2
Sonne,1254,1251
Sonnenaufgang,64,57
Sonnenblume,23,20
Sonnenbrille,40,37
Sonnenschein,44,39
Sonnenuntergang,86,66
Sonntag,117,95
Sorge,95,92
Sorgfalt,28,26
Sorte,15,13
Souvenir,30,24
Sowjetunion,29,26
Sozialarbeiter,3,1
Sozialismus,57,47
Sozialität,3,3
Soziologe,3,0
Soziologie,29,23
Soße,49,31
Spachtel,8,6
Spanien,75,62
Spanisch,34,33
Spannung,174,152
Spargel,26,24
Spaten,20,17
Spatz,13,10
Spaziergang,71,62
Spaß,1144,644
Speichel,28,22
Speise,11,10
Spende,49,49
Sperre,23,22
Spiegel,139,135
Spiel,558,554
Spiele,41,41
Spieler,34,29
Spielplatz,74,58
Spielzeug,112,94
Spinat,20,20
Spinett,2,2
Spinne,60,60
Spion,62,50
Spiritus,2,1
Spitze,82,77
Spitzkohl,1,1
Spontanität,14,8
Sport,1904,1536
Spott,35,29
Sprache,950,813
Sprachen,67,65
Sprachförderung,2,1
Sprecher,29,23
Spritze,57,57
Sprudel,56,42
Sprung,33,20
Spucke,25,24
Spur,24,21
Späne,52,35
Spüle,10,9
Staat,452,386
Staatsanwaltschaft,6,6
Stab,66,58
Stabilität,40,33
Stadion,41,35
Stadt,1337,1124
Stadtrat,12,9
Stadtteil,24,22
Staffel,15,13
Stahl,81,81
Stall,73,59
Stamm,37,29
Stand,40,40
Standard,54,37
Standort,23,18
Standpunkt,83,75
Stange,53,41
Star,118,91
Start,201,159
Statik,17,14
Statistik,228,182
Statue,56,44
Status,73,59
Stau,158,134
Staub,217,171
Staubsauger,61,52
Stauraum,40,33
Steak,52,42
Steckbrief,5,5
Steckdose,55,46
Steckrüben,1,1
Stehlampe,4,4
Steigerung,37,32
Stein,329,258
Stelle,43,43
Stellung,36,29
Stelzen,4,0
Stemmeisen,0,0
Stempel,32,31
Steppe,33,32
Sterne,240,206
Sternzeichen,80,62
Steuer,119,117
Steuererklärung,37,36
Steuern,87,86
Steuerung,23,21
Stich,57,57
Stichel,0,0
Stichsäge,1,0
Stiefel,60,59
Stift,257,210
Stiftung,16,14
Stil,109,88
Stille,139,139
Stillstand,61,48
Stimme,139,138
Stimmung,155,135
Stipendium,17,13
Stirn,16,14
Stock,123,98
Stoff,331,268
Storch,8,7
Story,16,11
Strafe,315,313
Straftat,128,103
Straftäter,13,10
Strahl,10,7
Strand,469,370
Strategie,93,82
Strauß,24,22
Straße,710,394
Straßenbahn,49,35
Straßenkarte,3,3
Straßenverkehr,63,44
Streber,64,46
Strecke,69,67
Streich,20,18
Streichinstrument,39,30
Streifen,56,55
Streik,63,51
Streit,626,620
Stress,1039,784
Strich,65,65
Strick,43,33
Strickjacke,3,3
Strom,527,442
Stromkasten,6,4
Struktur,193,158
Strumpf,27,20
Strumpfhose,12,11
Strömung,11,8
Student,94,81
Studenten,68,56
Studentenstadt,6,2
Studie,220,181
Studien,41,34
Studiengang,5,5
Studio,19,16
Studium,692,567
Stufe,55,52
Stuhl,357,275
Stunde,103,90
Sturm,122,97
Sturz,68,59
Stuttgart,33,26
Stärke,182,178
Störung,75,63
Stück,76,66
Stütze,33,31
Subjekt,62,50
Subjektivität,23,15
Suche,71,71
Sucht,123,123
Summe,79,79
Sumpf,24,20
Supermarkt,170,147
Suppe,362,299
Sweatshirt,2,1
Symbiose,8,6
Symbol,84,68
Sympathie,50,38
Symptom,5,5
Synonym,35,35
Synthesizer,3,2
Syrien,31,23
System,121,102
Szene,12,8
Säge,57,57
Sänger,50,42
Säugetier,56,48
Säure,75,74
Süd,69,56
Südafrika,14,12
Südamerika,185,160
Süden,135,108
Südkorea,25,20
Sünde,67,59
T-Shirt,72,49
TV,149,120
Tabak,42,35
Tabelle,82,73
Tablett,25,22
Tabu,13,13
Tadel,30,30
Tafel,124,122
Tag,328,272
Tagebuch,34,28
Tagesschau,58,49
Tagung,23,21
Taktik,30,27
Tal,70,62
Talent,150,122
Tamburin,0,0
Tandem,2,1
Tankstelle,55,44
Tanne,9,9
Tante,89,75
Tanz,127,124
Tasche,171,136
Taschentuch,37,34
Tasse,87,66
Tastatur,114,91
Tasten,77,77
Tat,154,154
Tatort,99,84
Tatsache,89,73
Tatsachen,19,18
Tau,42,38
Taube,52,52
Taufe,17,17
Taxi,19,15
Team,337,268
Teamarbeit,24,22
Teamgeist,15,13
Technik,315,262
Tee,315,260
Teenager,78,61
Teer,26,21
Teich,57,45
Teig,101,87
Teil,216,216
Teilnahme,50,46
Teilnehmer,58,51
Telefon,377,301
Telefonat,11,9
Telefonnummer,12,11
Teller,159,124
Temperatur,119,97
Tempo,76,65
Tendenz,21,16
Tennis,57,41
Teppich,76,66
Termin,300,257
Termine,44,37
Terpentin,2,2
Terror,66,51
Terrorist,6,4
Test,352,272
Testament,49,46
Teufel,82,63
Text,380,319
Thailand,24,18
Theater,806,694
Theke,26,21
Thema,157,146
Theologie,17,15
Theorie,147,131
Therapie,109,93
Thermometer,60,46
These,50,43
Thomas,16,12
Thron,37,32
Ticket,72,61
Tiefe,72,72
Tier,1213,956
Tiere,573,469
Tierschutz,20,18
Tiger,87,73
Tinte,111,89
Tipp,72,59
Tisch,421,349
Tischler,57,46
Titel,98,98
Tochter,64,51
Tod,1214,1012
Toilette,247,206
Toleranz,138,114
Tomate,59,48
Ton,206,165
Tonne,31,24
Topf,147,121
Tor,126,100
Torte,84,76
Tortenstück,2,2
Tote,31,30
Tour,15,12
Tourist,23,18
Tracht,56,47
Trachten,17,17
Tradition,185,142
Trainer,11,8
Training,155,127
Traktor,66,54
Transparenz,33,29
Transport,122,96
Trauer,524,521
Traum,259,219
Trauma,45,37
Traurigkeit,61,52
Treffer,17,11
Trend,62,51
Trennung,168,138
Treppe,208,166
Tretboot,2,2
Treue,94,94
Triangel,9,7
Trick,35,27
Trikolore,0,0
Tritt,7,7
Trommel,78,74
Trompete,85,80
Tropen,21,18
Tropfen,41,39
Trottel,16,11
Truhe,35,30
Trump,152,119
Truppe,11,9
Trägheit,15,12
Tränen,205,200
Tschechien,48,42
Tsunami,36,28
Tuba,29,22
Tuch,88,72
Tugend,102,85
Tunesien,18,11
Tunnel,45,31
Turm,111,93
Turnier,31,25
Typ,54,47
Täter,147,130
Tätigkeit,99,91
Tätigkeitsfeld,3,3
Täuschung,49,37
Töne,60,60
Tübingen,40,33
Tür,675,565
Türe,106,92
Türkei,49,37
Tüte,49,40
U-Bahn,68,67
U-Boot,4,4
USA,472,388
Ufer,26,23
Uhr,320,266
Uhrzeit,89,74
Uhu,54,40
Ukraine,59,44
Ulm,25,24
Ulrich,6,6
Umarmung,75,57
Umbruch,21,18
Umfang,41,34
Umfeld,52,46
Umfrage,47,39
Umgang,51,42
Umgebung,104,91
Umhang,47,39
Umsatz,28,22
Umschlag,28,24
Umschreibung,17,12
Umsetzung,33,28
Umstand,18,16
Umwandlung,13,11
Umweg,59,42
Umwelt,330,268
Umweltschutz,44,37
Umweltverschmutzung,52,44
Umzug,113,97
Unabhängigkeit,65,54
Unachtsamkeit,5,3
Unfall,638,531
Ungarn,32,20
Ungeduld,48,41
Ungerechtigkeit,113,92
Ungewissheit,48,39
Ungleichheit,41,36
Unglück,153,123
Uni,597,459
Uniform,104,104
Union,44,37
Universität,824,722
Universum,126,99
Unlust,17,14
Unmut,7,4
Unordnung,114,92
Unrecht,49,48
Unruhe,95,76
Unsicherheit,222,180
Unsinn,99,74
Unterbrechung,21,18
Unterbreitung,2,2
Unterdrückung,129,103
Untergang,23,15
Unterhalt,13,13
Unterhaltung,192,171
Unterhemd,30,23
Unterhose,80,62
Unterkunft,69,61
Unterlage,4,2
Unterlagen,36,35
Unternehmer,16,13
Unterricht,249,208
Unterrock,2,2
Unterscheidung,29,27
Unterschied,110,109
Unterschrift,82,67
Unterstützung,294,257
Untersuchung,99,90
Untertitel,3,1
Unterwerfung,11,9
Unterwäsche,89,70
Unwetter,44,37
Unwissenheit,34,29
Unwohlsein,67,54
Urenkel,0,0
Urin,62,51
Urkunde,57,52
Urlaub,1306,1052
Urne,34,29
Ursache,135,113
Ursprung,71,59
Urteil,164,138
Urteilsvermögen,1,1
Urwald,59,51
Utopie,45,35
VIP,23,18
Vampir,31,25
Van,4,4
Variable,8,7
Vater,344,286
Vaterland,24,23
Vatikan,32,30
Verabredung,64,58
Veranda,10,7
Veranstalter,1,1
Veranstaltung,138,122
Verantwortung,513,411
Verarsche,2,2
Verb,125,94
Verband,49,46
Verbandsgemeinde,0,0
Verbesserung,121,106
Verbindung,331,276
Verbot,119,117
Verbrechen,304,297
Verbrecher,119,105
Verbundenheit,58,48
Verdacht,33,33
Verdienst,65,65
Verein,241,201
Vereinbarung,71,58
Vereinigte Staaten von Amerika,3,3
Vereinigung,61,57
Vererbung,33,31
Verfahren,32,31
Verfassung,78,64
Verfolgung,40,37
Verfügung,7,7
Vergangenheit,521,430
Vergehen,22,21
Vergleich,96,79
Vergrößerung,36,24
Vergänglichkeit,23,19
Verhalten,134,132
Verhaltensstudie,0,0
Verhandlung,69,59
Verhältnis,59,53
Verhütung,40,35
Verkauf,86,86
Verkehr,299,298
Verkehrsmittel,46,42
Verkehrsschild,9,9
Verkleidung,52,46
Verknüpfung,31,27
Verkäufer,50,41
Verlag,54,48
Verlauf,17,17
Verletzung,328,269
Verlierer,78,64
Verlust,280,218
Verlängerung,7,5
Verlässlichkeit,42,30
Vermittlung,25,22
Vermutung,75,62
Vermögen,62,61
Vernunft,61,49
Verpackung,62,48
Verpflichtung,57,47
Verrat,45,37
Versammlung,95,84
Versand,21,17
Verschmutzung,37,30
Verschwendung,41,35
Versehen,34,34
Versicherung,165,139
Version,8,3
Versorgung,19,15
Verspätung,147,123
Verstand,98,97
Versteck,49,48
Verstoß,6,6
Verständigung,32,28
Verständnis,206,171
Versuch,135,135
Versuchsperson,3,3
Verteidigung,98,79
Verteilung,31,28
Vertrag,283,277
Vertreter,14,10
Vertriebene,4,4
Verurteilung,24,20
Verwaltung,114,98
Verwandlung,41,30
Verwandte,52,51
Verwandtschaft,55,27
Verweis,9,9
Verwendung,23,20
Verzeihung,25,23
Verzicht,22,22
Verzweiflung,65,55
Veränderung,283,234
Veröffentlichung,11,9
Vespa,28,25
Video,48,34
Videospiel,9,8
Vielfalt,170,142
Vielzahl,15,12
Viertel,37,36
Vietnam,9,8
Villa,22,18
Viola,17,13
Violine,83,65
Violoncello,2,2
Virus,55,47
Vision,41,35
Vitamine,55,43
Vitrine,11,9
Vizepräsident,2,1
Vogel,794,634
Vogelperspektive,10,9
Vogelweide,1,1
Vokabel,9,7
Volk,117,101
Volksfest,11,10
Volksherrschaft,2,2
Volksmusik,36,31
Vorahnung,8,8
Voraussetzung,72,50
Vorbereitung,35,32
Vorbild,103,84
Vorbohrer,0,0
Vordergrund,17,15
Vorfahren,36,36
Vorfall,16,15
Vorfreude,72,61
Vorführung,20,18
Vorgabe,54,50
Vorgesetzter,51,50
Vorhaben,53,53
Vorhang,75,64
Vorjahr,0,0
Vorlage,27,25
Vorlesung,82,67
Vormund,4,4
Vorname,175,158
Vorrat,30,23
Vorsatz,32,30
Vorschlag,66,60
Vorschrift,46,38
Vorsehung,6,5
Vorsicht,246,179
Vorsitzende,4,4
Vorsorge,22,22
Vorstand,24,21
Vorstellung,139,116
Vorteil,80,67
Vorteile,12,12
Vortrag,176,146
Vorurteil,96,78
Vorwurf,16,13
Vulkan,32,28
WC,64,48
WLAN,16,6
Waage,147,130
Wache,12,12
Wachstum,78,64
Waffe,237,191
Waffen,125,110
Wagenheber,2,2
Waggon,9,6
Wagnis,26,24
Wahl,353,298
Wahnsinn,35,27
Wahrheit,247,206
Wahrnehmung,109,86
Wal,28,17
Wald,881,709
Walter,16,11
Wandel,49,49
Wanderung,44,35
Wandschrank,1,1
Wange,8,6
Ware,105,82
Waren,93,93
Warnung,46,42
Wartezimmer,43,35
Waschbecken,43,38
Waschmaschine,72,57
Washington,9,8
Wasser,2952,2306
Wasserhahn,43,35
Wasserwaage,9,6
Weblink,1,1
Wechsel,56,56
Wecker,95,74
Weg,432,431
Weiblichkeit,16,12
Weide,53,53
Weihnachten,440,419
Wein,237,236
Weise,53,52
Weisheit,77,67
Weitblick,31,28
Weite,178,178
Weiterbildung,41,34
Weiterentwicklung,19,12
Weitsprung,11,7
Weizen,124,88
Weiße Bohnen,1,1
Weißkohl,25,12
Weißrussland,2,1
Welle,58,57
Wellen,102,102
Wellensittich,10,9
Wellness,49,36
Welt,390,314
Weltall,102,81
Weltfrieden,8,8
Weltkrieg,44,40
Weltraum,52,47
Wende,22,22
Werbung,327,277
Werdegang,5,4
Werk,36,34
Werkbank,38,26
Werkstatt,202,159
Werkstoff,10,8
Werkzeug,875,686
Werkzeugkasten,41,35
Werkzeugmacher,0,0
Wert,149,149
Werte,102,102
Wertschätzung,62,55
Wesen,56,45
Wespe,31,22
West,78,62
Weste,20,19
Westen,94,83
Western,51,39
Wettbewerb,159,135
Wetter,347,343
Wettkampf,227,173
Wettlauf,13,8
Whisky,17,10
Wichtigkeit,56,43
Widerspruch,74,61
Widerstand,91,80
Wiederholung,123,104
Wiege,3,3
Wien,137,121
Wiener,18,17
Wiesbaden,8,8
Wiese,262,259
Wikipedia,29,17
Wildschwein,10,8
Wilhelm,11,8
Wille,133,116
Willen,16,16
Wimpern,12,6
Wind,427,339
Winkel,59,45
Winter,951,759
Wirklichkeit,45,39
Wirkung,94,84
Wirsing,5,1
Wirtschaft,487,411
Wissenschaft,656,547
Wissenschaftler,93,75
Witz,173,134
Woche,109,88
Wochenende,221,198
Wodka,47,37
Wohlbefinden,64,45
Wohlergehen,11,8
Wohlstand,63,53
Wohnort,58,50
Wohnraum,8,7
Wohnung,639,529
Wohnzimmer,191,158
Wolf,74,58
Wolfgang,4,4
Wolfsburg,3,3
Wolke,67,60
Wolken,120,94
Wolkenkratzer,32,27
Wolle,204,203
Word,74,50
Workshop,14,12
Wort,441,355
Worte,120,105
Wortschatz,36,31
Wunde,194,194
Wunder,65,65
Wunsch,221,187
Wurm,29,27
Wurst,179,133
Wurzel,60,48
Wurzeln,23,23
Wut,393,306
Währung,125,101
Wärme,503,484
Wäsche,259,200
Wörter,254,207
Wörterbuch,82,66
Wünsche,36,35
Würde,43,43
Würstchen,101,92
Wüste,224,218
Xylophon,7,5
Yoga,123,98
Zahl,523,520
Zahlung,30,24
Zahlwort,1,1
Zahn,96,72
Zahnarzt,123,103
Zange,69,52
Zauber,59,59
Zauberer,120,103
Zaun,137,120
Zebra,84,70
Zebrastreifen,75,66
Zeh,21,17
Zeichen,127,105
Zeit,1187,1184
Zeitalter,68,57
Zeitdruck,60,49
Zeitpunkt,30,22
Zeitraum,54,44
Zeitrechnung,5,5
Zeitschrift,131,114
Zeitspanne,43,34
Zeitung,779,650
Zelle,37,31
Zelt,89,89
Zensur,40,34
Zentimeter,39,32
Zentrale,5,5
Zentrum,104,88
Zeppelin,1,1
Zepter,10,8
Zerstörung,94,72
Zettel,77,77
Zeug,18,18
Zeuge,29,29
Zeugnis,142,128
Zicke,12,10
Ziege,38,33
Ziegel,57,46
Ziehharmonika,7,6
Ziel,653,653
Ziffer,34,29
Zigarette,100,79
Zigaretten,78,59
Zigarre,34,25
Zimmer,211,209
Zimmermann,24,21
Zinsen,34,24
Zirkel,39,35
Zirkus,166,143
Zitat,30,25
Zither,2,2
Zitrone,94,72
Zoll,78,69
Zollstock,25,22
Zoo,197,151
Zopf,32,21
Zucchini,12,7
Zucker,218,174
Zufall,90,75
Zufriedenheit,186,156
Zug,770,611
Zugang,31,25
Zugehörigkeit,71,62
Zuhause,468,259
Zukunft,725,587
Zulassung,8,5
Zuneigung,99,79
Zunge,131,109
Zusage,35,35
Zusammenarbeit,107,91
Zusammenfassung,108,87
Zusammengehörigkeit,30,26
Zusammenhalt,185,155
Zusammenhang,117,96
Zusammenschluss,55,42
Zusammenstellung,6,6
Zusatz,28,25
Zusatzaufgabe,1,1
Zuschauer,38,32
Zustand,86,83
Zustimmung,142,118
Zuständigkeit,13,11
Zuverlässigkeit,40,36
Zuversicht,42,36
Zwang,224,222
Zweck,96,87
Zweifel,99,96
Zweifler,2,2
Zweig,23,19
Zweisamkeit,39,26
Zwerg,46,35
Zwiebel,46,38
Zwiespalt,19,14
Zylinder,27,22
Zähne,228,185
Zärtlichkeit,58,51
Zürcher,0,0
Zürich,33,29
abends,42,42
aber,91,91
abfahren,2,2
abgeben,65,64
abgeschlossen,44,44
abgesichert,4,4
abhaken,15,14
abhauen,39,39
abholen,16,16
abhängig,49,46
ablehnen,81,80
abmachen,12,11
abnehmen,50,49
abreißen,4,4
abrufen,3,3
abschließen,52,52
abschneiden,9,9
abschreiben,28,28
abschätzbar,0,0
absolut,54,54
absperren,4,3
abstempeln,6,6
abstimmen,29,29
abstrakt,58,57
abwarten,30,30
abwischen,3,3
abwägen,124,121
acht,50,50
achtzig,8,5
addieren,47,44
aggressiv,58,53
agieren,28,28
agil,31,31
akribisch,10,10
aktiv,179,175
aktuell,75,74
akzeptabel,5,4
akzeptieren,64,64
albern,52,52
alle,147,147
allein,346,343
alleine,204,202
alles,242,240
allgemein,80,77
alt,1555,1554
altbacken,69,67
altern,18,18
alternativ,31,31
altertümlich,41,41
altmodisch,345,340
amerikanisch,9,9
analog,36,36
analysieren,36,36
analytisch,6,6
anbieten,25,25
anbinden,1,1
andauern,11,11
andauernd,52,51
andere,39,39
andererseits,59,55
anders,365,364
anerkannt,22,22
anfangen,123,121
anfassen,73,73
angeben,71,71
angeblich,6,6
angehen,19,19
angehören,3,2
angemessen,41,41
angenehm,305,302
angesehen,12,12
angreifen,15,15
anhalten,57,57
anhängen,9,9
ankommen,94,93
ankündigen,5,5
anmerken,9,9
annehmen,139,137
anonym,18,18
anordnen,12,12
anpacken,26,26
anpassen,33,33
anpreisen,6,6
anrufen,38,36
anschauen,74,73
anschließend,13,13
ansehen,43,43
ansteckend,11,11
anstrengend,521,513
anteilig,2,2
antik,53,53
antreiben,4,4
antun,1,1
antworten,51,51
anwenden,28,28
anwesend,43,42
anziehen,98,96
anziehend,43,43
anzünden,8,8
arabisch,26,26
arbeiten,375,372
arbeitslos,43,42
arg,22,22
argumentieren,46,45
arrogant,122,120
asozial,43,28
atmen,113,112
attraktiv,89,85
auditiv,3,3
auf,80,78
aufbauen,47,47
aufbewahren,64,59
auffallen,29,29
auffallend,36,36
auffassen,4,4
auffordern,11,11
auffällig,52,50
aufgeben,137,135
aufgehen,4,4
aufgeregt,63,60
aufgeräumt,44,43
aufgrund,14,13
aufhalten,41,40
aufheben,49,49
aufhängen,56,52
aufhören,100,100
auflösen,17,17
aufmachen,33,33
aufmerksam,119,117
aufmerksam machen,13,13
aufnehmen,53,52
aufrecht,51,51
aufregend,81,78
aufrichtig,26,26
aufräumen,143,142
aufschreiben,32,32
aufstellen,33,33
auftreten,14,14
aufwachen,23,22
aufwachsen,8,8
aufzeigen,19,18
aufziehen,9,8
ausbreiten,10,9
ausdrücken,40,38
ausdrücklich,17,16
ausführen,48,46
ausführlich,37,35
ausgeben,22,22
ausgeglichen,67,66
ausgehen,47,47
ausgehend,4,4
ausgeprägt,4,4
ausgleichen,10,10
aushalten,42,40
auskommen,3,3
ausprobieren,77,75
ausreichend,54,52
ausruhen,96,95
aussagekräftig,7,7
ausschließen,14,13
ausschließlich,21,21
austreten,2,2
ausweichen,38,37
auswirken,2,2
auswählen,27,27
auszeichnen,7,5
ausziehen,19,17
ausüben,17,17
authentisch,20,18
automatisch,23,23
autonom,20,20
autoritär,27,26
außen,30,29
außergewöhnlich,58,57
außerhalb,10,10
backen,149,149
baden,81,81
bald,76,76
basteln,124,124
bauen,295,294
beachten,25,25
beantworten,4,4
bearbeiten,37,37
bedacht,40,40
bedecken,9,8
bedeuten,18,18
bedeutend,51,49
bedeutsam,26,26
bedienen,23,23
bedürftig,19,18
beeilen,21,21
beeindrucken,4,4
beeindruckend,39,37
beeinflussen,46,46
beenden,186,185
befehlen,39,39
befinden,4,4
befolgen,47,46
befreien,13,13
begabt,36,36
beginnen,92,92
begleiten,33,33
begreifen,89,87
begrenzt,61,60
begründen,21,21
behalten,59,58
behandeln,16,16
behaupten,21,21
beherbergen,4,4
beherrschen,20,17
behindern,5,5
behindert,52,51
beibringen,18,17
beige,15,15
beinahe,32,32
beinhalten,33,32
beispielsweise,0,0
beißen,22,22
bejahen,27,25
bekannt,175,171
bekennen,4,4
bekloppt,14,13
bekommen,143,142
belegen,21,21
beliebt,38,38
bellen,13,13
belästigen,0,0
bemerken,62,62
benennen,48,47
benutzen,137,137
benötigen,51,50
beobachten,109,108
bequem,237,235
beraten,18,18
bereichernd,8,8
bereit,22,22
bereuen,17,17
berichten,11,11
berufen,0,0
beruflich,9,9
beruhen,1,1
beruhigen,12,11
beruhigend,37,37
berücksichtigen,8,8
berühmt,126,122
berühren,52,49
beschaffen,11,11
bescheiden,42,42
bescheuert,22,22
beschließen,6,6
beschlossen,3,3
beschreiben,77,75
beschrieben,6,5
beschränkt,30,30
beschwerlich,11,11
beschädigen,2,2
beschäftigen,8,7
beschäftigt,23,20
beschützen,41,39
beseitigen,19,19
besetzt,9,8
besitzen,79,77
besonderer,0,0
besonders,340,334
besorgen,29,29
besorgt,5,5
besprechen,29,28
besser,145,145
bestehen,53,51
bestellen,28,28
bestimmen,86,86
bestimmt,116,115
bestätigen,55,54
bestätigt,15,12
besuchen,29,29
beteiligen,9,9
beten,68,68
betonen,41,41
betrachten,52,52
betragen,2,2
betreffen,4,4
betreuen,8,8
betroffenen,0,0
betrunken,78,75
betrügen,40,37
betteln,15,15
beugen,19,18
beurteilen,52,52
bevormunden,4,4
bewachen,7,7
bewegen,72,72
beweglich,63,63
beweisbar,2,2
beweisen,42,41
bewerten,66,66
bewundern,15,15
bewusst,56,56
bezahlbar,4,4
bezahlt,5,4
bezeichnen,21,21
beziehen,14,14
beziehungsweise,2,2
bieder,28,28
biegen,22,22
bieten,11,11
bilden,48,48
bildlich,9,9
billig,140,139
binden,51,49
bisherige,0,0
bislang,1,1
bitten,64,64
bitter,106,106
blasen,49,48
blass,28,28
blau,521,519
bleiben,93,92
blind,83,83
blond,59,59
bloß,16,16
blöd,216,212
bohren,31,31
braten,58,58
brauchbar,32,32
brauchen,141,141
braun,416,414
brausen,4,3
brav,65,65
brechen,129,129
breit,59,59
bremsen,32,32
brennen,63,62
bringen,69,67
britisch,14,13
brutal,40,40
böse,370,366
bücken,29,29
bügeln,46,43
bürgerlich,14,14
chaotisch,39,39
charmant,21,21
checken,23,23
chic,42,40
christlich,37,36
clever,59,58
cool,128,127
da,119,118
dabeisein,4,17
daddeln,8,5
dafür,69,67
dagegen,77,76
daheim,38,38
daher,26,25
damalig,0,0
damals,79,78
danach,149,146
daneben,59,58
dankbar,19,19
danke,42,42
daraufhin,4,4
darstellen,45,45
darum,68,67
das,37,37
dauerhaft,49,45
dauern,8,8
dauernd,52,51
dazu,73,73
definiert,14,13
definitiv,35,29
dekorieren,27,26
dement,0,11
demokratisch,13,11
demütig,9,9
denken,443,441
dennoch,30,29
deshalb,116,112
destruktiv,12,12
detailliert,39,32
deuten,28,28
deutlich,120,118
diagnostizieren,5,5
dicht,38,37
dick,305,303
dienen,18,18
diesmal,0,0
differenzieren,29,29
digital,60,60
direkt,107,107
diskutieren,83,80
distanzieren,7,7
dominant,44,43
donnern,0,0
doof,179,176
dort,98,94
dorthin,21,20
dran,16,15
drauf,22,22
draußen,135,131
dreckig,147,144
drehen,114,114
drei,106,105
dreist,23,22
dreißig,3,3
dringend,95,94
drinnen,52,52
dritter,22,22
drohen,2,2
drüben,21,21
drüber,30,29
drücken,59,59
dumm,421,416
dunkel,687,686
durchdacht,55,52
durcheinander,68,68
durchführen,40,40
durchhalten,57,57
durchsetzen,42,41
durchsichtig,154,147
durchziehen,14,14
duschen,56,56
dynamisch,24,24
dünn,194,192
dürfen,84,82
düster,45,43
ebay,0,17
eben,122,121
ebenfalls,12,12
echt,180,175
eckig,72,70
edel,110,110
effektiv,40,39
effizient,49,49
egal,173,171
egoistisch,58,57
ehemalig,8,5
eher,32,32
ehrenamtlich,11,11
ehrgeizig,43,40
ehrlich,193,191
eigen,67,67
eigenartig,35,35
eigenständig,39,37
eigentlich,44,40
eignen,0,0
eilen,10,10
eilig,47,46
einander,3,3
einbringen,7,5
eindeutig,86,85
einfach,329,326
einfühlsam,29,26
einführen,14,13
eingebildet,37,35
