GENESIS-Tabelle: 12411-0013
Bevölkerung: Bundesländer, Stichtag, Geschlecht, Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Baden-Württemberg;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Bayern;Berlin;Berlin;Berlin;Brandenburg;Brandenburg;Brandenburg;Bremen;Bremen;Bremen;Hamburg;Hamburg;Hamburg;Hessen;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Saarland;Sachsen;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen;Thüringen
;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
31.12.2023;32-Jährige;79725;73571;153296;95502;87814;183316;32861;31428;64289;10861;10949;21810;5165;4730;9895;16009;15775;31784;43322;41324;84646;7198;6947;14145;52270;48752;101022;123381;117229;240610;27745;25708;53453;6574;5945;12519;20491;18943;39434;9912;9162;19074;18054;17129;35183;9781;8907;18688
31.12.2023;33-Jährige;83144;76794;159938;99441;92099;191540;36239;34860;71099;15627;15432;31059;5440;4717;10157;16655;16338;32993;45429;43137;88566;10366;10135;20501;54664;50986;105650;127408;121123;248531;28879;26711;55590;6741;6074;12815;28254;26038;54292;14154;12635;26789;19255;18186;37441;13514;12329;25843
31.12.2023;34-Jährige;81384;75037;156421;96136;90225;186361;35628;34442;70070;16691;16624;33315;5148;4836;9984;16120;15726;31846;44572;42668;87240;11172;10576;21748;53505;50114;103619;122905;118208;241113;28202;26407;54609;6550;6029;12579;29353;26795;56148;14404;13456;27860;18660;17911;36571;13693;12756;26449
31.12.2023;35-Jährige;82796;76605;159401;97693;91693;189386;35406;34207;69613;17717;17411;35128;5158;4801;9959;16191;15772;31963;45185;43183;88368;11736;11027;22763;54563;51520;106083;124815;120570;245385;28918;26926;55844;6614;6182;12796;29905;27718;57623;15096;13982;29078;19457;18409;37866;14733;13626;28359
31.12.2023;36-Jährige;79297;73770;153067;94721;88833;183554;34630;32677;67307;17845;17932;35777;4838;4753;9591;15494;14956;30450;43605;42214;85819;11820;11288;23108;53226;50804;104030;121925;117626;239551;27762;26588;54350;6459;6107;12566;30335;28172;58507;15015;14125;29140;18901;18075;36976;15049;13767;28816
31.12.2023;37-Jährige;77872;74375;152247;93133;88766;181899;33115;31453;64568;17599;17698;35297;4808;4566;9374;14822;14501;29323;42803;41882;84685;11484;10991;22475;51919;50117;102036;118097;116503;234600;27383;26056;53439;6413;6078;12491;28943;27262;56205;14677;13706;28383;18218;18020;36238;14750;13322;28072
31.12.2023;38-Jährige;75395;71600;146995;89095;85474;174569;31721;30352;62073;18251;17724;35975;4643;4420;9063;14178;14261;28439;41332;40176;81508;11281;10904;22185;49407;48880;98287;113551;112791;226342;26165;25155;51320;6195;5776;11971;29445;27003;56448;14663;13363;28026;17323;17550;34873;14488;13237;27725
31.12.2023;39-Jährige;74672;71752;146424;88024;85782;173806;30691;28787;59478;17791;17471;35262;4473;4388;8861;14050;13930;27980;41245;41095;82340;11179;10583;21762;49067;48069;97136;112470;111844;224314;25963;25301;51264;5981;5774;11755;28476;26700;55176;14565;13463;28028;17430;17660;35090;14614;13248;27862
31.12.2023;40-Jährige;73241;71862;145103;88398;86054;174452;29271;28321;57592;17983;17552;35535;4517;4511;9028;13611;13850;27461;40843;41029;81872;11290;10599;21889;48926;48851;97777;112169;112434;224603;25948;25473;51421;6008;5757;11765;28788;26713;55501;14726;13464;28190;17583;17848;35431;14616;13405;28021
31.12.2023;41-Jährige;74484;73005;147489;89167;88366;177533;29254;27941;57195;18265;17536;35801;4527;4598;9125;13592;13801;27393;41553;42096;83649;11471;10659;22130;49246;49688;98934;114150;114917;229067;26374;25850;52224;6151;5935;12086;29243;26480;55723;14593;13238;27831;17840;18706;36546;15066;13527;28593
31.12.2023;42-Jährige;73458;72739;146197;88233;88352;176585;28243;27545;55788;17815;17205;35020;4404;4232;8636;13373;14171;27544;40733;42513;83246;11119;10293;21412;48826;49922;98748;111798;114153;225951;26255;26076;52331;6137;5799;11936;28421;25744;54165;14449;13034;27483;17659;18535;36194;14576;13178;27754
